period,AHU-1-EC,AHU-1-SAR,AHU-1-SAT,CHB-1-DF,CHB-1-SP,CHI-1-CP,CHI-1-KWR,CHI-1-LCWSTSP,CHICMP-1-AP,CLDHM,CLDOAFT,CLDOAT,CNDP-1-RFT,CNDP-1-SPD,CT-1-ENT,CT-1-EXT,CT-1-SPD,CW-1-STSP,DHW-1-RT,DHW-1-ST,DHWB-1-RTL,DHWB-2-RTL,DHWT-1-TMP,EVA-1-P,EVA-1-RT,H-1-CO2,H-1-TMP,H-2-CO2,H-2-TMP,HC-1-RT,HC-1-ST,HYD-1-DP,HYD-1-RTT,HYD-1-SPD,HYD-1-ST,HYD-2-SPD,HYDC-1-P,LHB-1-DF,LHB-1-SP,OAT-1,OAT-2,PC-1-P,hour,weekday,CDD,CHI-1-EC,CT-1-EC,CNDP-1-EC,HYD-1-EC,HYD-2-EC
2021-08-01 02:30:00+00:00,0,45.27,20.16766667,0,0,89.44393333,76.046,0,39.3856,83.15,18.61466667,18.56133333,22.264,51.19333333,22.11266667,20.626,48.5,0,36.4984,52.59106667,50.8214,43.3148,54.26746667,57.1658,8.461333333,427.8494667,22.50246667,418.8965333,22.5412,11.60266667,9.774,7.0646,13.39946667,44.84,11.54893333,0,26.1338,0,0,19.6136,19.61126667,19.21693333,1.94,6.02,0,13.856,11.5,4.75,1,0
2021-08-01 02:45:00+00:00,0,45.33,20.16073333,0,0,90.44373333,78.5596,0,40.5256,83.41666667,18.582,18.51266667,22.31866667,49.38666667,22.43466667,21.15,48.5,0,42.6902,50.59506667,33.8158,44.07366667,52.12186667,54.7428,7.205333333,427.0467333,22.47713333,418.1894,22.53673333,9.892666667,8.174666667,6.9118,12.2094,44.78666667,9.9158,0,25.95673333,0,0,19.72166667,19.6148,19.2576,1.94,6.02,0,15.629,0,3.75,2,0
2021-08-01 03:00:00+00:00,0,45.33,20.12413333,0,0,60.63246667,0,0,0,84.78333333,18.45466667,18.456,9.981333333,0,21.39266667,20.72333333,0,0,39.5322,52.11733333,38.69806667,31.19393333,54.1472,59.89146667,9.871333333,426.9378,22.46613333,418.2453333,22.55546667,10.00466667,10.03266667,7.033333333,11.80946667,44.86666667,11.4292,0,26.0686,0,0,19.56913333,19.56226667,19.31826667,2.94,6.02,0,0,0,0,1,0
2021-08-01 03:15:00+00:00,0,45.33,20.13613333,0,0,70.74773333,23.0286,0,11.93,86.48333333,18.54,18.27666667,14.79933333,22.14,21.522,20.446,14.74,0,42.7332,50.91313333,27.924,20.422,52.4028,60.93293333,10.358,425.3749333,22.48986667,416.6913333,22.58,11.45533333,10.86666667,7.0052,13.00426667,45.09333333,12.31413333,0,26.22533333,0,0,19.54733333,19.5508,19.2332,2.94,6.02,0,2.34,0,2.75,1,0
2021-08-01 03:30:00+00:00,0,45.27,20.13286667,0,0,94.36473333,89.8424,0,46.04113333,86.85,18.474,18.3,24.39266667,54.86,22.55666667,21.04933333,55.94,0,44.7398,50.4032,42.98093333,40.8406,52.23093333,55.80026667,7.71,426.8726,22.48106667,417.9612667,22.56646667,11.05933333,8.941333333,7.017866667,13.1366,44.91333333,10.7412,0,26.1052,0,0,19.5292,19.63706667,19.24506667,2.94,6.02,0,23.035,0,3.75,1,0
2021-08-01 03:45:00+00:00,0,45.33,20.13786667,0,0,75.5958,42.60813333,0,21.56333333,87.81666667,18.42,18.13666667,16.38666667,25.80666667,21.69066667,21.04266667,26.18,0,43.37213333,52.7254,58.167,50.723,54.33073333,56.68113333,8.165333333,427.8931333,22.50253333,417.2776,22.55106667,9.696666667,8.812666667,6.952666667,11.81933333,44.86,10.483,0,25.98913333,0,0,19.65066667,19.64726667,19.31826667,2.94,6.02,0,12.441,0,0.25,1,0
2021-08-01 04:00:00+00:00,0,45.27,20.1328,0,0,61.98326667,0,0,0,86.98333333,18.48533333,18.20733333,10.67866667,0,21.46333333,20.51466667,0,0,45.0576,51.29346667,42.787,50.723,52.99713333,61.24133333,10.52533333,426.8076,22.49446667,416.8454,22.58586667,10.65733333,10.682,7.005266667,12.31133333,44.88666667,11.96786667,0,26.15566667,0,0,19.66793333,19.55873333,19.23693333,3.94,5.98,0,0,0,0,1,0
2021-08-01 04:15:00+00:00,0,45.27,20.2086,0,0,85.79286667,66.5604,0,34.10766667,85.91666667,18.38,18.35666667,20.764,47.52666667,21.98866667,20.76333333,41.06,0,45.7664,50.44393333,58.167,50.00513333,51.78733333,58.65466667,9.138666667,427.5238667,22.5168,418.3195333,22.5644,11.81133333,10.182,7.0326,13.48926667,44.78666667,11.82933333,0,26.05626667,0,0,19.58406667,19.67153333,19.21693333,3.94,6.02,0,11.715,0,3.75,1,0
2021-08-01 04:30:00+00:00,0,45.33,20.1966,0,0,92.50606667,85.12653333,0,43.78546667,85.85,18.476,18.316,23.22266667,51.26666667,22.62,21.13466667,52.22,0,43.3718,51.916,50.83053333,60.4568,53.61353333,54.4932,7.076,426.8512,22.51893333,416.3658667,22.57633333,10.11666667,8.223333333,7.077733333,12.36826667,44.4,10.08926667,0,26.1008,0,0,19.61686667,19.60893333,19.24133333,4.06,5.98,0,17.239,11.5,0.25,2,0
2021-08-01 04:45:00+00:00,0,45.33,20.18466667,0,0,60.34846667,0,0,0,86.51666667,18.42466667,18.268,10.28533333,0,21.324,20.82933333,0,0,45.74633333,51.98886667,68.33,60.398,53.68466667,60.22013333,9.996,428.7612,22.53913333,421.2085333,22.57986667,10.09866667,10.15266667,6.899866667,11.883,44.74,11.50033333,0,26.04206667,0,0,19.643,19.74753333,19.19253333,3.94,6.02,0,0,0,0,1,0
2021-08-01 05:00:00+00:00,0,45.27,20.18986667,0,0,70.96606667,28.0562,0,15.76106667,86.85,18.24,18.22333333,14.88866667,21.86,21.764,20.56266667,18.68493333,0,48.21753333,51.37846667,68.33,60.398,52.87,61.02966667,10.44333333,429.0215333,22.56353333,419.4828,22.59033333,11.48066667,10.90733333,7.112666667,13.0062,44.95333333,12.33893333,0,26.2758,0,0,19.6552,19.65973333,19.26133333,4.94,5.98,0,8.332,0,2.75,1,0
2021-08-01 05:15:00+00:00,0,45.27,20.18306667,0,0,94.61786667,92.05246667,0,47.45226667,87.15,18.33933333,18.20066667,24.29533333,55.14,22.64933333,21.248,55.94,0,41.40513333,50.43993333,68.19886667,56.62253333,52.01573333,55.80893333,7.665333333,437.8780667,22.57046667,421.7294667,22.603,11.05733333,8.932,7.000533333,13.10506667,44.72,10.74726667,0,26.12926667,0,0,19.66113333,19.6612,19.26946667,5.06,6.02,0,17.488,0,0.25,1,0
2021-08-01 05:30:00+00:00,0,45.33,20.19313333,0,0,76.28406667,42.52713333,0,21.81,87.11666667,18.294,18.25666667,16.45666667,25.54,21.88333333,21.08466667,26.18,0,38.77753333,52.17133333,52.938,60.8026,53.92266667,56.52866667,8.086666667,433.2332,22.557,421.1847333,22.6572,9.672,8.786,7.074066667,11.7854,44.5,10.4464,0,26.02373333,0,0,19.60313333,19.60313333,19.28573333,4.94,6.02,0,6.567,0,3.75,1,0
2021-08-01 05:45:00+00:00,0,45.27,20.18473333,0,0,61.8276,0,0,0,87.85,18.25,18.11,10.77866667,0,21.62466667,20.67333333,0,0,41.88553333,51.03453333,52.927,60.798,52.2612,61.1648,10.44933333,432.0172,22.58733333,421.8596667,22.666,10.578,10.626,6.869066667,12.26666667,44.6,11.8776,0,26.06646667,0,0,19.4068,19.40346667,19.2044,4.94,6.02,0,0,0,0,1,0
2021-08-01 06:00:00+00:00,0,45.27,20.1522,0,0,85.75713333,67.1042,0,34.7322,88.15,18.32933333,18.04,20.928,47.52666667,22.09666667,20.834,40.78,0,40.9992,51.31586667,54.82286667,47.4126,53.2116,58.46806667,9.044,429.738,22.56653333,422.4872,22.65433333,11.73333333,10.138,7.066333333,13.44146667,44.96,11.75573333,0,26.04413333,0,0,19.23926667,19.34853333,19.28573333,5.94,6.02,0,12.082,0,3.75,1,0
2021-08-01 06:15:00+00:00,0,45.27,20.0986,0,0,91.6186,87.15326667,0,44.54553333,88.51666667,18.1,17.95333333,23.27,51.47333333,22.49066667,21.01,51.94,0,41.6212,52.32853333,27.831,20.076,53.56186667,54.4108,6.986666667,435.4472667,22.52866667,423.3988,22.65573333,10.01066667,8.14,7.06,12.3186,44.56,10.02713333,0,25.9464,0,0,19.23453333,19.2368,19.31013333,5.94,6.02,0,17.145,11.5,0.25,2,0
2021-08-01 06:30:00+00:00,0,45.27,20.09566667,0,0,59.94626667,0,0,0,88.85,18.11133333,17.83133333,9.898666667,0,21.19066667,20.55733333,0,0,42.80293333,50.78873333,12.451,20.8756,52.0026,59.74453333,9.789333333,433.1244,22.50033333,420.0687333,22.63266667,9.892666667,9.924666667,6.943133333,11.75393333,44.86,11.3286,0,26.0092,0,0,19.0336,19.0358,19.22506667,5.94,5.98,0,0,0,0,1,0
2021-08-01 06:45:00+00:00,0,45.27,19.99753333,0,0,68.51793333,17.86213333,0,9.145533333,88.85,17.82333333,17.69266667,13.87333333,18.19333333,21.59933333,20.368,11.3,0,41.6106,51.86206667,44.82753333,41.65753333,53.7044,61.15513333,10.45666667,435.3384667,22.52786667,423.0730667,22.65133333,11.32733333,10.91333333,6.973533333,12.88526667,44.86666667,12.328,0,26.13326667,0,0,18.96146667,19.0602,19.2532,6.06,5.98,0,6.527,0,0,1,0
2021-08-01 07:00:00+00:00,0,45.27,19.8622,0,0,93.08913333,93.09293333,0,47.51213333,90.15,17.7,17.56,23.78133333,54.86,22.22133333,20.59933333,55.94,0,47.0492,51.98533333,27.94,20.087,53.61886667,55.61366667,7.572666667,432.1476,22.47206667,423.8220667,22.6408,10.97133333,8.867333333,7.0644,13.1112,44.8,10.64713333,0,26.0174,0,0,18.982,18.969,19.2576,6.94,5.98,0,18.074,0,0.25,1,0
2021-08-01 07:15:00+00:00,100.25,45.33,19.7744,0,0,74.13953333,37.6024,0,19.19446667,89.85,17.6,17.57,16.01733333,25.52666667,21.41866667,20.506,25.9,0,49.98546667,51.27673333,12.56,20.447,52.79806667,56.5576,8.217333333,433.9057333,22.49373333,425.7105333,22.62013333,9.632666667,8.708666667,6.8494,11.81486667,44.54,10.40293333,0,25.91546667,0,0,18.79506667,18.80586667,19.24133333,7.06,5.98,0,12.738,0,0,1,0
2021-08-01 07:30:00+00:00,99.75,45.33,19.54246667,0,0,61.4872,0,0,0,89.85,17.62466667,17.46333333,10.42666667,0,21.12266667,19.99333333,0,0,49.40333333,50.84466667,12.56,20.447,52.4016,60.82326667,10.26933333,438.5292,22.4362,429.0967333,22.60973333,10.428,10.43466667,7.013866667,12.15393333,44.59333333,11.74893333,0,26.07426667,0,0,18.7306,18.8474,19.19626667,6.94,6.02,0,0,0,0,1,0
